"drug1_concept_id","drug2_concept_id"
19111620,19122121
19111620,19135832
19111620,19137042
19111620,40165651
19111620,40166942
19111620,40222444
19111620,40226579
19111620,40226742
19111620,40228152
19111620,40239330
19111620,40241331
19111620,43526424
19111620,703547
19111620,705103
19111620,705944
19111620,710062
19111620,711584
19111620,715233
19111620,715259
19111620,715939
19111620,718583
19111620,722031
19111620,722424
19111620,723013
19111620,725131
19111620,734354
19111620,735843
19111620,735979
19111620,739138
19111620,740275
19111620,740910
19111620,742267
19111620,743670
19111620,744740
19111620,745466
19111620,750982
19111620,755695
19111620,757688
19111620,766814
19111620,769935
19111620,778711
19111620,780442
19111620,781039
19111620,785788
19111620,791967
19111620,797399
19111620,797617
19111620,798874
19111620,800878
19111620,904453
19111620,906780
19111620,923645
19111620,924566
19111620,929887
19111620,937368
19111620,939259
19111620,941258
19111620,948078
19111620,950637
19111620,953076
19111620,955632
19111620,956874
19111620,961047
19111620,968426
19111620,970250
19111620,974166
19111620,975125
19111620,984232
19111620,1000560
19111620,1103314
19111620,1103640
19111620,1106776
19111620,1107830
19111620,1110410
19111620,1112807
19111620,1115008
19111620,1118084
19111620,1119119
19111620,1124300
19111620,1124957
19111620,1125315
19111620,1129625
19111620,1133201
19111620,1137529
19111620,1149196
19111620,1149380
19111620,1150345
19111620,1151789
19111620,1153013
19111620,1153428
19111620,1154029
19111620,1154161
19111620,1154343
19111620,1167322
19111620,1174888
19111620,1177480
19111620,1189754
19111620,1196677
19111620,1301025
19111620,1304107
19111620,1305058
19111620,1307046
19111620,1307863
19111620,1308216
19111620,1308290
19111620,1308842
19111620,1309944
19111620,1310149
19111620,1310317
19111620,1314002
19111620,1314273
19111620,1314924
19111620,1315942
19111620,1316262
19111620,1318011
19111620,1318853
19111620,1321636
19111620,1322184
19111620,1325363
19111620,1326303
19111620,1328165
19111620,1332418
19111620,1334456
19111620,1336539
19111620,1336825
19111620,1337068
19111620,1337620
19111620,1338005
19111620,1338512
19111620,1341927
19111620,1344905
19111620,1346823
19111620,1347384
19111620,1351541
19111620,1351557
19111620,1353766
19111620,1361711
19111620,1367500
19111620,1367571
19111620,1378382
19111620,1388796
19111620,1397141
19111620,1397599
19111620,1398937
19111620,1500211
19111620,1501700
19111620,1502905
19111620,1503297
19111620,1506270
19111620,1510813
19111620,1517824
19111620,1518254
19111620,1521987
19111620,1524674
19111620,1525215
19111620,1526475
19111620,1539403
19111620,1545958
19111620,1547504
19111620,1548195
19111620,1549080
19111620,1549786
19111620,1550023
19111620,1550557
19111620,1551099
19111620,1551803
19111620,1551860
19111620,1557272
19111620,1559684
19111620,1560171
19111620,1580747
19111620,1583722
19111620,1589505
19111620,1597756
19111620,1703687
19111620,1707687
19111620,1713332
19111620,1714165
19111620,1734104
